,cases_70days,icu_beds,commuting_in,density,percent_democrat,percent_in_poverty,pop_over65,median_age,percent_with_bachelors,median_income,pop_2019
0,1228,72,54070,393.99641884,0.542633830486,7.5,99868,37.8,31.9,87096,822083
1,6473,1606,489235,5450.3843595,0.743757709047,13.8,724730,36.6,38.0,63347,5150233
2,786,651,317959,4005.6166459,0.509601544158,10.5,440488,37.8,39.9,89373,3175692
3,1326,1004,79525,487.50954904,0.456797128628,12.3,615277,36.1,32.0,65234,4485414
4,5940,2126,483659,2473.5073498,0.714071865319,14.2,1299277,36.2,31.8,67986,10039107
5,1484,313,240720,1493.2046662,0.733480189578,7.3,246908,37.0,51.3,125933,1927852
6,4926,447,371770,13801.32086,0.794723195076,17.5,91123,32.7,44.8,68743,803907
7,875,337,307615,18795.223512,0.8553169356270001,10.1,131438,38.2,57.1,110601,881549
8,351,39,52187,456.91738082,0.713768627206,10.8,67689,34.9,50.7,71789,546695
9,2325,570,72833,792.91438376,0.560710165858,11.5,439595,35.6,38.1,78777,3338330
10,1126,648,89600,1615.3697451,0.544659220051,17.2,223805,33.4,27.6,54210,2003554
11,476,187,89375,1750.3315009,0.479235278844,11.6,68170,34.5,38.9,64580,571327
12,54,32,1575,37.99127697,0.582590082055,20.3,22647,38.0,29.8,49471,135558
13,1090,396,120790,1607.9350016,0.585567433683,14.3,202207,36.0,30.4,69475,1552058
14,378,113,18916,296.38858142,0.416136023952,13.0,76680,37.5,30.4,59408,522798
15,325,92,31582,544.70103033,0.622546726726,7.9,64390,37.9,26.2,82808,447643
16,2832,282,116130,1563.7909353,0.428482871035,9.0,114930,32.6,34.5,73619,1160437
17,286,82,17940,313.74622239,0.707222967207,9.9,91097,41.7,34.9,81002,494336
18,79,32,22730,184.08552018,0.647661723566,8.8,25360,41.1,34.9,85624,137744
19,244,66,46516,497.3152999,0.7881500077310001,6.6,54625,46.5,58.8,122933,258826
20,6942,450,247854,1065.0027467,0.7214892465389999,9.2,274609,37.1,51.4,94822,2252782
21,556,85,84068,830.61446109,0.593956058164,8.8,73044,36.5,43.7,82819,601592
22,776,90,19780,542.27582552,0.398082018362,10.4,98927,48.0,29.3,59587,403253
23,1432,432,131673,1440.3883066,0.514932646806,14.7,189676,36.9,32.7,58361,1471968
24,2085,282,237262,2266.8038359,0.7931424750689999,9.0,215917,37.4,46.0,101744,1671329
25,7004,59,175598,1784.3023037,0.612466844243,6.5,113400,40.9,53.0,100184,706775
26,58,54,20420,52.607970005,0.569459702387,9.0,17342,42.9,40.5,65163,89886
27,104,28,6521,47.841294958,0.382898874125,13.3,10324,37.1,28.6,57329,60760
28,3516,538,496827,2019.9144194000005,0.692273308888,13.5,113402,35.4,51.4,70808,1063937
29,170,70,56930,283.09018519,0.411666622379,7.1,71099,41.9,38.6,89175,398329
30,1464,131,162092,1708.6818505,0.763759178293,6.8,117867,39.6,49.9,122930,766573
31,1061,175,113096,1331.7237897,0.583929619916,8.4,113852,36.0,51.8,80169,1111761
32,1066,163,88933,1608.6423209000006,0.689128114392,7.8,169782,39.4,41.7,101463,1153526
33,17150,147,177837,4004.5571387,0.5449741512899999,6.8,155306,41.8,48.3,100181,932202
34,31610,179,152533,2246.9377106,0.649051798386,8.3,158902,40.8,48.2,94521,967506
35,1452,128,57252,941.89227299,0.516482503543,7.9,74854,36.0,46.1,92310,811688
36,165,20,9594,26.427687744,0.392850629218,10.9,13790,40.2,26.7,57243,77200
37,38743,461,193326,4767.2768183,0.512509818244,5.8,232164,41.6,45.2,115301,1356924
38,1154,331,14255,74.652791386,0.463642358158,10.4,69819,38.1,30.5,63636,471519
39,5144,535,21468,287.22956575,0.523983533245,14.0,301845,37.1,23.9,57155,2266715
40,456,28,58838,409.03186847,0.296007640879,3.8,27140,39.2,59.0,115930,238412
41,8817,918,461890,2762.5492191,0.54223505185,16.5,452327,33.3,31.0,60241,4713325
42,7588,150,179278,2130.9408448,0.7586602988,6.9,151809,39.0,59.0,107758,1050688
43,18381,216,337744,1970.6497636,0.663227499782,7.3,234069,38.5,55.2,100374,1611699
44,180,16,7801,182.05920707,0.210426388508,9.5,26193,39.7,28.1,69541,184313
45,1748,94,96322,762.59696552,0.490697156002,7.0,88707,40.4,44.1,85550,582881
46,621,54,47964,417.91548841,0.366530357865,2.6,35801,38.4,57.9,120670,351154
47,107,8,5510,70.784131107,0.28607198748,13.0,11809,48.1,20.4,53602,51361
48,5409,100,75980,3083.2498462,0.5939255420740001,8.8,88412,39.0,38.3,71961,566747
49,752,379,85413,1142.9119618,0.355548615533,14.1,87684,35.5,31.2,55796,651552
50,12637,39,31002,1878.3505416,0.511961143429,13.9,49645,36.1,40.6,88960,325789
51,5255,199,75864,2288.1000494000004,0.645876146019,12.9,75995,38.7,31.8,67135,506471
52,501,221,81036,448.18214778,0.506386124538,14.2,60929,37.6,42.8,62958,411406
53,1287,135,180547,3614.7495441,0.657335200865,14.6,74248,34.9,41.9,62937,550321
54,1772,189,63098,542.53805418,0.496931108025,8.7,113665,36.1,26.4,75022,904980
55,29,6,1326,17.863595903,0.624676616915,12.7,10559,57.9,41.8,55893,32221
56,401,90,21720,776.85533336,0.463250316676,8.8,67720,38.2,29.8,73971,488241
57,165,32,2954,73.145411344,0.16667826208,9.7,32828,36.4,27.7,57069,177556
58,354,22,34746,1188.6425946,0.215696391206,5.7,32621,30.8,37.5,84381,355481
59,261,10,5901,91.590862268,0.356467532468,14.5,11340,41.7,19.9,52270,66551
60,495,4,5570,109.23828497,0.536156601842,9.3,16306,46.7,41.3,73703,74470
61,670,22,17022,86.24393453399998,0.380971163584,12.9,80907,38.9,19.0,58848,462789
62,182,14,46807,217.29866745,0.680718250598,20.1,25441,31.0,41.6,67804,220500
63,4452,227,280068,4743.9552681999985,0.751690767184,11.7,78751,34.4,47.9,68069,727211
64,532,260,53687,1139.3160414,0.512636652169,14.6,40073,34.4,42.9,55358,323152
65,8082,526,205245,2432.3168245,0.589015980281,17.2,113355,34.4,30.4,48409,964582
66,78,0,3535,137.31381163,0.202217827377,21.8,6270,37.1,12.2,43679,42613
67,414,148,4773,1622.7267286,0.614786319102,7.7,166432,37.6,34.3,83695,974563
68,1384,141,18353,986.07766533,0.382830412803,12.1,198022,48.1,27.8,56343,770577
69,6133,587,129438,1623.499921,0.6647197440079999,12.6,303981,40.1,31.9,57200,1952778
70,1251,95,17830,338.71841276,0.33774694914700004,9.9,83244,34.1,37.9,67923,720403
71,566,5,3654,32.726608698,0.559550661183,6.7,5482,36.5,48.1,86896,55127
72,423,19,24432,283.78298772,0.44717501369,6.3,38737,42.6,41.4,83210,229863
73,41,0,911,11.482571274000001,0.242134062927,18.5,13368,42.4,19.4,45374,68238
74,50,50,4806,79.383302602,0.419601306497,14.8,45075,42.7,27.4,55511,220944
75,4106,468,234558,1959.2565868,0.5578349649350001,10.5,172382,40.3,43.2,66992,994205
76,5797,215,213123,1720.4403096,0.58729698308,5.9,139629,41.3,48.7,90155,830915
77,51,6,1288,20.865716698,0.392167557543,15.8,6862,33.1,34.8,55624,47935
78,7386,178,289947,2934.8116361,0.652997653162,6.1,144212,37.9,61.1,122035,1147532
79,60,10,4494,52.548430542,0.583603548486,11.4,7906,47.0,35.7,52510,35470
80,1095,43,58826,445.46308918,0.446881372029,5.3,50759,44.3,40.7,93645,309769
81,149,22,18034,613.82863485,0.7504691257960001,12.2,41001,37.4,40.0,84213,273213
82,5618,351,104732,342.703209,0.496107441063,12.7,328609,35.3,21.8,66793,2470546
83,71,10,13802,73.62298192,0.38767766979,20.2,20797,33.9,14.5,53632,157327
84,1192,164,32321,167.6799017,0.494118211169,21.3,114438,32.0,20.7,52318,999101
85,495,24,5606,134.8010402,0.674965507619,11.3,28064,46.7,33.4,58375,124944
86,648,110,110002,1271.9107791,0.451555479298,5.5,79578,37.5,55.3,87087,602401
87,2407,119,133345,2237.0896015,0.488370953116,9.1,85117,36.5,46.5,78603,760141
88,591,148,18643,502.41804154,0.417945940132,13.2,125506,46.5,23.6,50285,553284
89,2597,82,119359,2174.1752753,0.509562221584,9.2,83442,35.1,36.1,72008,936250
90,176,57,19014,226.54514971,0.235562355326,12.7,31003,36.8,30.6,62779,210738
91,370,51,9928,277.35736469,0.3469680138699999,11.1,69046,58.6,23.2,52724,188910
93,1552,25,12261,157.94992078,0.518707703477,14.3,33335,43.7,32.2,63073,177573
94,38117,281,85628,1619.4232899,0.442614907626,7.3,239139,41.3,35.6,100075,1476601
95,827,68,33410,294.62141393,0.440444388289,14.5,50268,36.4,22.8,56408,347818
96,25,32,2002,22.038774258000004,0.270516066212,15.0,26671,47.0,17.2,47020,110980
97,15205,97,79428,2697.8238848,0.595497596497,13.6,70281,37.0,28.1,71959,501826
98,113,25,19578,296.69689409,0.390330659504,3.8,10962,37.5,48.1,104248,105089
99,159,20,11747,687.05358709,0.510524762908,9.1,44246,39.0,32.2,76530,271473
100,3726,277,100530,1227.3643539999996,0.622670334869,21.7,118566,35.4,31.1,47924,937166
101,4132,614,160867,1378.7692334,0.603060938509,15.4,79891,34.3,40.3,60799,694144
102,399,39,33712,395.89874684,0.330217810635,13.6,47462,38.2,23.8,53567,319785
103,9252,169,63512,549.84556659,0.5174291024009999,9.0,122402,40.1,35.9,71767,830622
104,14248,173,114321,1509.4086275,0.5818552740940001,10.0,143419,40.3,47.4,91183,943332
105,690,19,28274,584.36625333,0.352613021638,7.0,38632,40.8,35.8,87959,255441
106,1922,366,113202,2014.0227305,0.540918084461,15.4,117584,38.1,32.7,55860,766757
107,19,6,1274,61.635932237,0.261255466941,15.5,3290,42.1,14.8,51709,18886
108,569,95,19830,246.56142631,0.6602853101,15.8,15870,30.0,53.0,64387,151140
109,1050,39,27824,418.56402865,0.300233862181,5.9,20870,37.7,36.3,80834,170311
110,714,15,17233,614.54094882,0.227412587413,7.4,31100,38.3,37.0,82733,258773
111,3410,680,197691,2701.4936537,0.658357766233,17.9,217416,40.3,31.9,50006,1235072
112,7408,152,79987,1321.6980276,0.43607171064,6.7,103679,43.2,44.9,99223,618795
113,17574,105,130370,14555.938983000002,0.744594762318,14.3,76628,35.1,40.9,73337,672391
114,21,0,3335,74.481945647,0.3973635544600001,8.5,5692,36.8,28.2,75421,42754
115,14903,80,114860,5413.6512622,0.662816509789,7.8,76895,38.5,35.1,80737,556341
116,1259,44,16986,279.9324603,0.48419871406,12.3,27248,42.8,24.4,63318,170271
118,1049,195,139962,1229.7687086,0.392200143039,6.4,98040,36.6,51.7,96936,1034730
119,3767,127,148283,822.83599885,0.526755852843,8.1,78627,36.5,42.2,76665,656590
120,34,81,5957,47.697443513,0.282148468727,15.2,35621,41.8,22.2,53908,180080
121,495,55,21060,137.49229240000003,0.475355472235,10.5,49587,35.9,46.3,71306,356899
122,1825,296,12374,113.97478676,0.542321530538,16.2,190252,38.3,31.9,53395,1047279
123,11629,89,157790,1884.0230157,0.893292622141,8.3,111152,36.8,32.7,82445,909327
124,7059,215,68478,1462.6262651,0.405429245595,15.6,70261,39.2,26.1,50871,432493
125,170,29,14359,98.058840781,0.363306967271,11.8,15466,39.5,21.2,56337,93206
126,153,0,7064,116.20954268,0.231142687981,9.1,7103,38.7,14.3,61341,47744
127,2856,168,153183,2836.041489,0.8082272341660001,14.3,85571,35.6,43.4,63477,759297
128,210,37,22858,588.65191144,0.385099441933,5.0,19089,43.5,46.5,95021,114421
129,187,65,11865,193.20052674,0.266481751825,20.7,15636,38.5,20.4,44906,98498
130,1005,165,183411,1885.5092324,0.7595943672050001,12.0,100763,37.0,44.5,70756,812855
131,20129,528,257222,11796.782748,0.8240513828470001,24.3,207563,34.3,28.6,46149,1584064
132,8078,409,260568,1450.2364112,0.5171103120220001,8.2,198882,40.9,46.4,80319,1257584
133,19292,586,236937,2859.4342735,0.667795473596,21.7,258954,37.9,23.3,46440,1749343
134,919,35,49427,845.85743528,0.410133417353,5.6,45250,38.4,29.7,82284,356921
135,4000,82,81719,557.17907045,0.555731634767,6.2,72612,41.5,37.5,84470,445349
136,1527,33,66466,801.79464032,0.554234044324,3.6,33265,36.0,60.8,140382,413538
137,426,18,12078,74.675423726,0.475570389014,9.7,24374,41.5,26.3,70955,129205
138,359,24,4827,108.75731788,0.5488851722829999,14.9,35496,37.0,33.9,62262,229247
139,224,64,26163,451.5456437,0.272396901204,9.4,27885,32.5,23.8,68106,260213
140,43,6,982,14.660260714000001,0.282339043119,12.9,3041,37.3,20.1,49712,18453
141,10,0,595,8.4666060845,0.27235653947,20.9,1698,35.9,17.5,47412,9292
142,9,8,2388,45.393685401999996,0.296151911469,12.0,3525,38.8,23.9,51724,19775
143,3165,54,27019,239.37250132,0.3911171307,9.6,23211,34.7,31.9,60033,193134
144,57,103,28710,383.02309985,0.198964249916,16.5,33114,44.9,22.8,46024,158348
145,7904,614,520617,3021.0825913000012,0.611264385885,14.2,263792,33.3,30.7,59838,2635516
146,848,97,50804,582.74698473,0.225247805085,9.3,69473,36.9,34.7,77598,607391
147,4643,409,196723,2434.4302532,0.434500748304,12.1,216591,34.3,31.5,66059,2102515
148,850,139,43603,459.16825553,0.553749663019,9.1,123435,37.9,33.1,84170,846006
149,179,0,1083,5.390934306799999,0.54500483923,10.4,2044,34.5,55.3,61268,17462
150,339,210,23134,307.28851819,0.589625040093,19.8,34804,31.3,42.5,51026,269043
151,709,121,45166,547.38885704,0.53880957953,14.3,89461,34.1,18.4,63567,762148
152,1030,73,23366,192.74608394,0.35741473857100003,10.6,112279,50.3,36.2,70649,384902
153,280,8,11381,160.41872841,0.317550918561,5.4,8129,38.0,48.3,85876,67843
154,6869,111,93799,2302.6374138,0.8080775756399999,23.8,52536,36.3,36.8,38855,390144
155,12748,98,81347,1602.0491904,0.58496038709,10.7,127337,40.8,39.4,76373,789034
156,10,4,4048,105.55976829,0.214893780198,11.6,5251,33.4,15.3,56693,35777
157,1224,33,29243,510.07020571,0.426893574512,5.9,41446,40.2,33.7,86268,307774
158,66,0,3967,136.62350377,0.23312632958700005,10.4,16835,45.0,28.2,66898,88625
159,4682,103,84946,1025.1137169,0.513638242894,8.6,67018,37.0,33.1,79834,532403
160,327,166,26165,741.97917716,0.37372411903,12.6,114764,44.6,23.4,53788,553947
161,1062,279,69317,3561.2781285,0.4747049967450001,11.7,228495,47.8,31.0,52226,974996
162,29,0,506,17.167318689000002,0.250499001996,25.6,1927,41.7,10.5,40499,13392
163,116,36,4425,65.512630726,0.444029850746,9.4,34502,42.3,34.2,67372,197692
164,29,19,4686,33.603256116,0.21562860653,10.8,8276,31.4,28.3,63938,67641
165,620,128,34866,644.18021868,0.389663365873,14.4,69336,41.9,22.8,52310,370606
166,4662,90,84117,1039.4906596,0.484163912988,5.7,110321,43.8,40.5,88538,628270
167,94,0,6781,116.18606273,0.425087766676,12.7,13995,37.1,30.1,62389,86085
168,105,3,4232,24.242337186,0.285878388727,15.8,11454,36.3,16.2,53917,77950
169,110,11,11039,56.72720331,0.318982530517,12.7,22051,39.7,19.5,54292,129749
170,438,48,19347,160.7087323,0.413099252309,24.0,9784,32.4,27.6,39061,74897
171,14954,185,164948,2668.2428893,0.583323899416,8.2,117814,38.4,42.7,87666,825062
172,1254,138,49381,584.81475658,0.526048595388,16.5,103210,37.3,33.9,51372,679121
173,127,22,13493,78.70588876800001,0.712822122656,12.2,32763,45.8,40.9,60187,150358
174,49,0,661,2.5031646355,0.484754292481,29.6,3142,39.2,21.2,33989,16637
175,2466,191,53539,1129.2528105,0.543668245024,14.4,121631,38.9,37.7,60240,741770
176,181,6,2422,408.32643903,0.48947554508,7.5,19138,44.2,33.0,65987,85141
177,1728,32,143245,9110.2137123,0.769866939268,6.3,23483,34.5,74.6,120950,236842
178,127,72,20262,402.13160725,0.531598269842,8.7,44614,39.0,35.7,72400,290536
179,148,15,11107,143.7019072,0.340372646495,9.5,17808,41.5,22.7,59428,103403
180,514,64,102388,735.27858448,0.339516360659,5.0,69991,43.2,43.8,87333,404198
181,16,11,607,12.08110855,0.206245154014,8.7,5894,42.1,30.0,58307,30485
182,488,218,21652,242.17997944,0.457459288318,7.1,22399,37.2,44.0,76001,158293
183,439,46,21236,305.21506861,0.704904029095,10.4,22828,36.5,50.7,74240,163774
184,108,20,6978,178.50602283,0.354314642147,13.3,18004,42.0,26.9,58035,98012
185,4,0,385,12.245598379,0.236718224613,15.7,1453,42.8,18.4,50278,6901
186,173,66,30297,453.37909142,0.28098634111,15.1,18205,35.4,20.8,50610,123945
187,57,4,8014,18.303260404,0.696928853374,6.8,3083,42.0,63.1,89034,17767
188,2933,119,64703,1310.6490387,0.6230399131059999,11.6,81440,38.1,35.9,69562,558753
189,16033,593,160166,1430.0879913,0.636584344059,16.0,423353,39.7,28.8,52043,2716940
190,598,88,29055,368.08392539,0.4735399414630001,15.6,67770,34.0,16.9,59616,550660
191,499,34,6925,76.80457988,0.612116964529,22.2,11468,38.8,17.8,38596,66824
192,1062,74,26119,593.64377524,0.477350802178,13.5,40544,36.5,29.2,54674,271826
193,1939,107,34494,273.24871047,0.505480579173,22.4,39667,37.4,23.5,40467,240204
194,1053,6,19099,493.58716198,0.261486659922,7.7,21500,37.4,31.8,69880,158167
195,5041,123,147893,1382.729562,0.565454887364,9.9,136329,39.3,38.6,75836,827370
196,334,13,11957,281.64884456,0.305136855852,12.3,15344,41.7,21.2,55365,82544
197,233,47,20308,440.7050343,0.315539034547,6.6,45239,43.4,43.7,81925,264672
198,419,21,11993,234.76983541,0.208949901943,12.2,13851,37.9,19.5,57409,107738
199,6905,108,121367,1569.1260633,0.572891332339,8.0,93069,38.2,45.0,87336,696535
200,226,48,11896,236.15375655,0.396979327955,25.9,13198,30.2,25.6,41820,117406
201,345,0,2099,84.27504237699999,0.22444349922,12.4,3498,37.2,25.6,66090,29992
202,81,14,10846,259.73695195,0.309876454013,15.1,16797,26.2,21.4,50531,197938
203,290,24,12826,264.5772215,0.332962757087,11.7,24306,38.1,21.8,60296,209339
204,801,259,56582,937.43532337,0.536134346614,16.4,56532,38.3,33.8,50112,382295
205,406,25,27845,599.16695849,0.385134392651,9.0,25749,37.9,31.2,69297,216453
206,499,42,22006,320.30123638,0.447843695853,17.6,41230,44.2,18.5,47424,197974
207,2894,173,196508,2120.6952358,0.632820450638,11.7,112217,35.0,44.8,64509,1110356
208,284,54,60620,223.54826862,0.495162955154,7.3,69081,41.4,36.8,81061,418187
209,10107,76,32193,473.88006089,0.447855463116,11.5,50452,36.9,29.8,75048,384940
210,27,0,2071,47.094049154,0.274486477913,7.4,4251,41.6,27.4,75177,26248
211,81,24,12793,386.53062391,0.38415414135,11.3,10667,42.8,22.3,56382,55916
212,16906,267,184721,6336.819561,0.770596515103,14.9,104288,37.5,34.8,62875,798975
213,6155,91,142549,1067.0035589,0.459867067447,4.7,80497,42.6,53.6,112396,491845
214,1700,120,100266,584.33256541,0.5951338703,11.3,49416,37.9,41.3,64536,305506
215,71,0,5658,30.597824625,0.327652154348,15.9,10595,47.5,21.9,47382,44135
216,3745,51,24809,369.78375908,0.473165334154,9.2,48700,42.0,35.2,79604,294218
217,93,0,3897,43.441185008999994,0.300441037055,13.5,12251,44.0,21.0,53168,61319
218,2814,64,40841,825.58117284,0.461817545088,10.2,54951,42.1,29.2,68217,305285
219,473,0,4265,102.40925076,0.354753318499,10.3,11899,47.7,28.0,62657,55809
220,244,24,23758,230.32549044,0.310689583233,5.2,17287,42.9,39.2,91028,107766
221,189,26,13759,537.51192904,0.446708940731,7.0,17930,46.4,49.6,86541,76523
222,99,8,4275,65.155746788,0.503676067157,20.0,3598,30.8,28.1,48450,22802
223,4183,24,56592,1400.8710867999994,0.573632761263,6.4,41803,34.9,40.1,106200,470335
224,1,0,384,4.5879216491,0.240902809765,13.3,1093,49.4,24.9,53700,3985
225,15,0,2687,39.475394474,0.425568521843,17.3,14607,43.7,15.8,48763,75061
226,111,163,46400,433.99134554,0.33226496563700003,15.5,45660,36.0,30.2,44799,293086
227,2684,52,4829,58.417117784,0.393936879374,16.5,32887,32.8,16.0,51377,250873
229,328,254,61760,925.21884364,0.35065768188100005,13.2,69073,37.3,36.7,55874,470313
230,1303,21,16681,195.90467325,0.408851119732,6.9,36456,47.2,35.1,76304,180333
231,351,28,13035,362.63057436,0.261068228613,8.8,30931,39.5,24.1,62835,219252
232,1355,412,107565,1255.8590574999996,0.474949502489,14.5,123480,36.1,29.2,55733,957755
233,4966,401,88700,761.99313226,0.5651114137259999,12.2,336908,44.6,35.7,61735,1496770
234,2759,168,86255,443.64116675,0.493767309065,9.2,49181,33.6,23.6,70199,517421
235,1853,41,26104,119.95486531,0.323795657403,12.4,22187,34.3,27.8,60843,161075
236,207,73,15554,168.73682383,0.37715947248,9.5,29492,33.2,35.3,82113,288000
237,740,209,79769,516.73581324,0.566652718604,16.7,56988,36.9,34.1,49957,391911
238,1603,51,15952,96.634667469,0.413435408318,22.2,50391,30.8,14.3,48763,466195
239,550,118,41468,780.13055204,0.427449247076,10.3,145841,55.5,34.7,61652,433742
240,445,38,63897,1525.3362784,0.470685498068,9.9,67463,39.2,38.2,67187,471826
241,17,4,4569,142.67582816,0.276121360497,15.3,4289,39.1,16.3,46629,28157
242,202,54,12278,231.38475747,0.415160823997,12.3,18104,40.7,22.2,49935,108277
243,674,219,61681,525.85045211,0.6088344146600001,18.1,36861,31.8,38.5,52837,292406
244,3145,150,81383,773.91239313,0.452434126751,11.3,82873,35.1,35.2,61675,656955
245,62,12,5509,90.579015271,0.296505497816,14.3,10519,40.7,13.0,50396,63888
246,422,23,7654,220.60178088,0.314806267149,13.8,28275,43.5,18.3,56557,159128
247,1265,92,75582,520.70814112,0.683890577508,15.0,47278,33.4,55.2,72267,367601
248,929,12,74856,762.64373784,0.482163396149,6.3,54846,37.8,41.8,86403,429021
249,6029,311,345901,2285.5562907,0.638202377483,10.3,164160,36.4,49.2,76067,1265843
250,1266,145,52672,1090.9501807,0.618240040449,18.4,19309,33.7,17.4,47084,165429
251,7,6,2198,35.412167908,0.31672256828,8.0,3954,41.7,22.2,60531,20165
252,949,16,10128,222.29064897,0.431920359666,20.2,19322,37.6,19.5,41572,123131
253,645,36,27997,759.10726707,0.500900550066,11.3,25515,39.9,31.4,63297,155299
254,1179,300,137115,1124.9568909000004,0.411759116111,16.9,101851,34.5,31.8,52346,797434
255,572,45,50332,464.49105414,0.384833315952,7.3,44001,40.5,35.8,71695,253370
256,2363,93,86027,699.4921241000003,0.525763491188,6.7,79856,40.4,51.8,99224,524989
257,88,41,5408,61.249907888,0.326509470429,10.9,25450,38.2,31.0,59975,161300
258,16,8,4529,20.076447454,0.425290085171,10.5,11607,41.0,38.6,63860,69432
259,149,8,2640,43.928342984,0.4577239356710001,9.0,12315,33.5,49.0,67569,114434
260,9,8,1663,31.313821239,0.239066463724,16.8,4541,44.2,15.5,44978,21824
261,203,6,2769,68.45154097,0.154501667284,18.1,9975,40.9,16.4,45268,55535
262,11,11,1423,48.629261015,0.530021089195,16.7,6376,39.8,26.4,47302,34915
263,8285,106,25626,966.33708117,0.315283213658,9.7,131798,42.9,29.2,68483,607186
264,134,50,30685,241.38631598,0.355211717984,9.0,40748,44.5,29.5,63119,206865
265,231,0,4288,36.474335196,0.274876150035,12.7,12526,32.7,17.6,53688,97733
267,211,9,4450,47.440181906999996,0.6979928914910001,35.1,3996,33.8,17.5,29244,28183
268,238,12,612,4.2751253555,0.253883817929,15.7,6892,38.4,23.5,51204,39261
269,78,13,9779,225.48135799,0.388334191113,7.5,19559,41.3,23.9,61906,115340
270,1269,33,20143,590.2498347999998,0.453745810116,12.6,30527,40.1,24.7,60349,196311
